"ZIP5","Electric","Total_Cars","Median_Household_Income","White_perc","BachOrHigher_perc","Zillow_Home_Value_Index","Total_Population","ZIP3","ev_perc","non_white","car_density","maj_white"
94925,395,7794,183661,74.7,74.1,1713269.27,10145,"949",5.06800102643059,25.3,768.260226712666,1
94507,746,14189,250001,79.5,76.1,2360618.55,13906,"945",5.25759391077595,20.5,1020.35092765713,1
95129,1417,27885,163245,21.3,72.1,2153094.67,39318,"951",5.08158508158508,78.7,709.21715244926,0
91403,861,18343,104499,67,67.7,1354267.33,26061,"914",4.69388867687946,33,703.848662752772,1
94566,1829,35650,172403,49.2,66.7,1613800.26,45648,"945",5.1304347826087,50.8,780.976165439888,0
94556,581,12160,167500,64.5,77.1,1671308,15672,"945",4.77796052631579,35.5,775.90607452782,1
94127,671,13449,180768,50.4,65.6,1762364.5,20927,"941",4.98921852925868,49.6,642.662588999857,1
92679,1290,26639,197951,70.6,62.1,1322716.38,31406,"926",4.84252411877323,29.4,848.213717124116,1
95814,456,9321,39612,46.5,38.2,624923.59,12302,"958",4.89217895075636,53.5,757.681677775971,0
94939,288,5522,150179,78.6,78.2,2094587.64,7274,"949",5.21550162984426,21.4,759.142150123728,1
90403,707,16388,113204,70.3,71.7,1418159.41,24525,"904",4.31413229192092,29.7,668.216106014271,1
94404,1382,26639,166203,32.2,70.3,1601366.55,36571,"944",5.18788242801907,67.8,728.418692406552,0
94610,828,18698,117530,51.1,73,1291261.49,32144,"946",4.42828109958284,48.9,581.69487307118,1
90401,267,5363,90682,72.6,71,1104992.09,7482,"904",4.9785567779228,27.4,716.78695535953,1
92861,266,5446,172375,67.3,53.6,1924794.35,5864,"928",4.88431876606684,32.7,928.717598908595,1
92610,511,10490,155101,48.7,64.5,1037141.38,12524,"926",4.87130600571973,51.3,837.591823698499,0
90046,1446,31419,77162,66.9,62.3,1475020.25,48749,"900",4.60231070371431,33.1,644.50552831853,1
95124,1733,37378,165344,49.5,58.9,1611265.73,52442,"951",4.63641714377441,50.5,712.749323061668,0
94552,602,12916,183578,34.6,55.9,1364340.99,15131,"945",4.6608857231341,65.4,853.611790364153,0
94402,1047,21329,170688,55.2,68,2138419.7,27188,"944",4.9088096019504,44.8,784.500514933059,1
90048,648,14240,102567,76.5,67.9,1793059.91,20504,"900",4.55056179775281,23.5,694.498634412798,1
95125,1826,40453,128452,50.7,55.9,1614082.19,53478,"951",4.51388030553976,49.3,756.441901342608,1
92612,820,19634,76648,45.2,67.1,946785.89,34640,"926",4.17642864418865,54.8,566.801385681293,0
91361,850,17913,122305,76.1,62.5,1378858.76,19454,"913",4.74515714843968,23.9,920.787498714917,1
94965,393,8825,125070,71.3,67.1,1369099.81,11821,"949",4.45325779036827,28.7,746.552745114627,1
92673,1094,24939,159244,73.2,57.7,1447537.01,30972,"926",4.3867035566783,26.8,805.211158465711,1
94502,448,10935,190174,39,69.5,1213650.16,14732,"945",4.09693644261545,61,742.261743144176,0
90211,372,7945,89946,61.7,60.3,2204706.24,9202,"902",4.6821900566394,38.3,863.399261030211,1
94105,482,10430,244662,37.4,84,1059330.07,13810,"941",4.62128475551294,62.6,755.24981897176,0
90232,540,11972,105932,50.3,62,1670978.27,15342,"902",4.51052455730037,49.7,780.341546082649,1
91423,951,22950,97727,70,62.4,1348665.5,31901,"914",4.1437908496732,30,719.41318453967,1
90014,185,3692,31332,29.6,42.4,544159.82,8547,"900",5.01083423618635,70.4,431.964431964432,0
94706,440,11699,115712,44.3,73.7,1152103.55,20962,"947",3.76100521412086,55.7,558.105142639061,0
94117,724,16531,174419,66.4,76.9,1480127.41,40701,"941",4.37965035388059,33.6,406.157096877227,1
91030,751,18241,115088,38.5,70.9,1506534.59,26837,"910",4.11709884326517,61.5,679.695942169393,0
92075,493,10819,111500,67.8,68.5,1898422.4,12234,"920",4.5567982253443,32.2,884.338728134707,1
90278,1192,30319,132479,55,61.6,1290509.22,42841,"902",3.93152808469936,45,707.709904063864,1
91377,493,11132,143153,69.1,60.4,1046118.02,13561,"913",4.42867409270571,30.9,820.88341567731,1
90025,1202,28186,100453,54.1,71,1075126.83,44608,"900",4.26452848932094,45.9,631.859756097561,1
