"ZIP","ZIP3","EV_perc","BachOrHigher_perc","Median_Household_Income","Zillow_Home_Value_Index","Latino_perc","White_perc","Asian_perc","Black_perc"
92121,"921",5.15,78.6,117200,970214.87,10,52.2,28.6,1.4
90720,"907",5.14,50.9,118531,1323409.25,22.6,58.6,10.5,3.2
94403,"944",5.14,61.4,151369,1629383.65,19.5,42.6,29.2,2.2
95472,"954",5.12,49.5,102283,1061878.93,15.2,76,1.9,1
95452,"954",5.11,78,129563,1230552.57,8.2,79.1,12.6,0
91001,"910",5.07,47.6,114668,1103053.47,31.4,34.8,5,23.3
95066,"950",5.03,53.3,130975,1227318.5,11.5,77.3,5.8,0.3
95126,"951",5.01,54.5,116063,1132792.34,35.4,38.4,16.4,4.7
94596,"945",5,72.2,125731,1199563.89,8.9,66.3,15,2.3
91367,"913",4.99,54.6,98803,1026181.09,14.4,61.1,12.6,6.7
93424,"934",4.98,52.7,78629,1302897.6,12.6,84.6,2.9,0
92692,"926",4.97,54.4,128194,1025441.89,16.2,63.6,15.1,1
95762,"957",4.97,56.3,143847,885270.45,8.4,70.6,12,1.8
94619,"946",4.95,57.3,113554,915283.57,20.9,33.6,17.5,19.5
94116,"941",4.94,57,134652,1388301.45,6.7,31,53.9,1.1
92653,"926",4.94,51.3,111111,1041678.67,20.9,56,15.3,3.1
91711,"917",4.89,58.2,112430,876806.79,24.2,47.5,15.1,5.5
92629,"926",4.89,55.8,111155,1438928.17,15.5,74.1,4.3,2.5
95497,"954",4.89,71.4,82552,1210806.84,11.6,80.6,3.6,0
92270,"922",4.88,44.3,95158,860805.45,12.9,78.7,4.6,1.6
94595,"945",4.87,66.8,84688,742826.39,7.2,75.5,11.6,1.5
91709,"917",4.86,49.9,109318,889006.89,27.3,26.4,38.3,4.3
94501,"945",4.86,57.1,101705,1175582.61,13.4,42.8,28.5,6.7
92129,"921",4.85,61.9,131688,1177455.91,11.3,47.7,32.7,1.9
